Deaths,Injured,Affected,Damage,Africa,America,Asia,Europe,Oceania,Natural
20,0.0,0.0,0.0,1,0,0,0,0,0
15,0.0,600.0,750000.0,0,1,0,0,0,1
128,0.0,0.0,0.0,0,0,0,1,0,1
18,0.0,0.0,0.0,0,0,1,0,0,0
4,0.0,4800.0,1000000.0,0,1,0,0,0,1
12,0.0,0.0,0.0,0,0,1,0,0,0
42,0.0,0.0,123.0,0,0,1,0,0,1
1,103.0,103.0,0.0,1,0,0,0,0,1
13,0.0,0.0,0.0,0,0,1,0,0,0
0,4000.0,4000.0,0.0,1,0,0,0,0,1
6,0.0,500000.0,0.0,0,0,1,0,0,1
17,0.0,0.0,0.0,1,0,0,0,0,0
15,6.0,6.0,0.0,0,1,0,0,0,0
0,0.0,2000.0,0.0,0,0,1,0,0,1
15,0.0,0.0,0.0,0,0,1,0,0,1
0,0.0,51500.0,2200.0,1,0,0,0,0,1
2,2.0,3359.0,0.0,0,0,1,0,0,1
6,0.0,60000.0,0.0,0,0,1,0,0,1
12,0.0,0.0,0.0,0,0,1,0,0,1
8,0.0,475000.0,6700000.0,0,0,1,0,0,1
250,0.0,2000.0,0.0,1,0,0,0,0,1
3,0.0,1075.0,0.0,0,1,0,0,0,1
4,7.0,22932.0,0.0,0,0,1,0,0,1
40,0.0,1000.0,0.0,1,0,0,0,0,1
16,6.0,6.0,0.0,0,0,1,0,0,0
50,0.0,10000.0,0.0,1,0,0,0,0,1
12,14.0,1074.0,0.0,0,0,1,0,0,1
29,70.0,71860.0,0.0,0,1,0,0,0,1
94,28.0,28.0,0.0,0,0,1,0,0,0
13,0.0,0.0,0.0,0,1,0,0,0,0
0,70.0,70.0,0.0,0,0,1,0,0,1
5,0.0,11000.0,0.0,0,0,0,1,0,1
5,0.0,3000.0,0.0,0,0,1,0,0,1
13,6.0,6.0,0.0,0,0,1,0,0,0
15,30.0,30.0,0.0,0,0,1,0,0,0
42,17.0,17.0,0.0,0,0,1,0,0,0
6,0.0,5725.0,0.0,0,0,1,0,0,1
430,146.0,146.0,0.0,0,0,1,0,0,0
10,0.0,0.0,0.0,1,0,0,0,0,0
104,0.0,20000.0,0.0,0,0,1,0,0,1
82,0.0,31.0,0.0,0,0,1,0,0,1
5,7.0,1307.0,0.0,0,1,0,0,0,1
2,0.0,600.0,325000.0,0,0,0,1,0,1
0,0.0,6300.0,0.0,0,0,0,0,1,1
0,0.0,600.0,14285.0,0,0,0,1,0,1
24,0.0,350.0,0.0,0,1,0,0,0,1
26,5.0,5.0,0.0,0,0,1,0,0,0
0,0.0,2140.0,0.0,0,0,1,0,0,1
6,0.0,8291.0,0.0,0,1,0,0,0,1
23,1.0,1.0,0.0,1,0,0,0,0,0
2,0.0,10000.0,0.0,1,0,0,0,0,1
2,1.0,30001.0,0.0,1,0,0,0,0,0
4,10.0,70.0,0.0,0,0,0,1,0,1
2,0.0,0.0,0.0,0,0,0,1,0,1
0,0.0,20000.0,1000.0,1,0,0,0,0,1
0,10.0,1110.0,0.0,0,0,0,0,1,1
26,0.0,0.0,0.0,1,0,0,0,0,0
0,0.0,0.0,2000000.0,0,0,0,0,1,1
0,0.0,1800.0,0.0,1,0,0,0,0,1
17,0.0,0.0,0.0,0,0,1,0,0,0
0,0.0,157000.0,0.0,0,0,1,0,0,1
1,0.0,736802.0,66000.0,0,0,1,0,0,1
12,1.0,1.0,0.0,0,0,1,0,0,0
99,0.0,29.0,0.0,1,0,0,0,0,0
17,0.0,0.0,0.0,0,0,1,0,0,1
260,0.0,22656.0,5000.0,0,0,1,0,0,1
0,134.0,134.0,51000.0,0,0,0,0,1,1
0,0.0,2000.0,0.0,0,0,1,0,0,1
23,0.0,0.0,0.0,0,0,1,0,0,0
434,0.0,0.0,0.0,0,0,0,1,0,1
102,0.0,25.0,0.0,1,0,0,0,0,0
22,0.0,0.0,0.0,1,0,0,0,0,0
20,0.0,0.0,0.0,0,0,1,0,0,0
19,0.0,117.0,0.0,1,0,0,0,0,0
0,0.0,11839300.0,0.0,1,0,0,0,0,1
14,51.0,51.0,0.0,0,0,1,0,0,0
0,0.0,1000000.0,2000.0,0,1,0,0,0,1
27,0.0,0.0,0.0,1,0,0,0,0,0
0,0.0,253.0,0.0,0,0,1,0,0,1
0,5.0,5.0,0.0,1,0,0,0,0,1
0,4.0,5004.0,2000.0,0,0,0,0,1,1
5,0.0,0.0,0.0,0,0,0,1,0,1
21,0.0,0.0,0.0,0,0,1,0,0,0
2,3.0,3.0,0.0,0,0,0,1,0,1
12,57.0,57.0,0.0,0,1,0,0,0,0
0,0.0,23955.0,0.0,0,1,0,0,0,1
0,0.0,25400.0,1500000.0,0,1,0,0,0,1
0,0.0,0.0,0.0,0,1,0,0,0,1
3,0.0,189.0,0.0,1,0,0,0,0,1
334,4645.0,2204645.0,0.0,0,0,1,0,0,1
22,0.0,0.0,0.0,0,0,1,0,0,0
26,1.0,1.0,0.0,0,0,1,0,0,0
11,0.0,0.0,0.0,0,0,0,1,0,0
30,0.0,0.0,0.0,1,0,0,0,0,0
57,3.0,3.0,0.0,0,1,0,0,0,0
62,60.0,105750.0,0.0,1,0,0,0,0,1
25,0.0,0.0,0.0,0,0,1,0,0,0
0,0.0,0.0,0.0,0,0,0,1,0,1
3,0.0,0.0,225000.0,0,1,0,0,0,1
9,0.0,5463.0,0.0,0,0,1,0,0,1
2,3.0,4159.0,0.0,1,0,0,0,0,1
20,6.0,6.0,0.0,1,0,0,0,0,0
20,0.0,25000.0,0.0,1,0,0,0,0,1
71,525.0,1467925.0,624000.0,0,0,1,0,0,1
20,0.0,4000.0,0.0,1,0,0,0,0,1
19,0.0,0.0,0.0,1,0,0,0,0,0
2,0.0,5000.0,175000.0,0,0,1,0,0,1
18,0.0,125.0,0.0,1,0,0,0,0,1
13,0.0,0.0,0.0,0,0,1,0,0,0
10,0.0,0.0,0.0,0,0,1,0,0,0
7,0.0,0.0,2800000.0,0,0,0,1,0,1
274,24262.0,24262.0,0.0,0,1,0,0,0,1
0,0.0,10000000.0,3000000.0,0,0,1,0,0,1
30,20.0,20.0,0.0,0,0,1,0,0,0
5,0.0,2000.0,10000000.0,0,1,0,0,0,1
19,38.0,38.0,0.0,1,0,0,0,0,0
37,15.0,15.0,0.0,0,1,0,0,0,0
0,0.0,1080000.0,161000.0,0,0,1,0,0,1
28,0.0,0.0,0.0,0,0,1,0,0,0
15,13.0,13.0,0.0,0,0,1,0,0,0
32,10.0,10.0,0.0,1,0,0,0,0,0
